Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Kyle Jarvis,Zimbabwe,Test,13,22,2511,1354,46,May-54,Jul-98,3.24,29.43,54.59,3,0
Brandon Mavuta,Zimbabwe,Test,2,4,336,237,4,Apr-21,Apr-48,4.23,59.25,84,0,0
Martin Guptill,New-Zealand,Test,47,18,428,298,8,03-Nov,03-Nov,4.18,37.25,53.5,0,0
Ross Taylor,New-Zealand,Test,105,7,96,48,2,02-Apr,02-Apr,3,24,48,0,0
Kane Williamson,New-Zealand,Test,83,65,2133,1195,30,Apr-44,Apr-44,3.36,39.83,71.1,0,0
Henry Nicholls,New-Zealand,Test,37,0,0,0,0,0,0,0,0,0,0,0
James Neesham,New-Zealand,Test,12,21,1076,675,14,Mar-42,Mar-42,3.76,48.21,76.86,0,0
Colin de Grandhomme,New-Zealand,Test,24,45,3683,1487,47,Jun-41,Jul-64,2.42,31.64,78.36,1,0
Colin Munro,New-Zealand,Test,1,1,108,40,2,Feb-40,Feb-40,2.22,20,54,0,0
Mitchell Santner,New-Zealand,Test,23,38,3899,1803,41,Mar-53,5/173,2.77,43.98,95.1,0,0
Tom Latham,New-Zealand,Test,56,0,0,0,0,0,0,0,0,0,0,0
Tom Blundell,New-Zealand,Test,10,1,18,13,0,0/13,0/13,4.33,0,0,0,0
Trent Boult,New-Zealand,Test,71,135,15819,7875,281,Jun-30,Oct-80,2.99,28.02,56.3,8,1
Matt Henry,New-Zealand,Test,13,25,2953,1598,31,Apr-93,6/105,3.25,51.55,95.26,0,0
Tim Southee,New-Zealand,Test,77,144,17387,8670,302,Jul-64,10/108,2.99,28.71,57.57,11,1
Ish Sodhi,New-Zealand,Test,17,31,3186,1992,41,Apr-60,Jul-79,3.75,48.59,77.71,0,0
Lockie Ferguson,New-Zealand,Test,1,1,66,47,0,0/47,0/47,4.27,0,0,0,0
Hashmatullah Shahidi,Afghanistan,Test,3,0,0,0,0,0,0,0,0,0,0,0
Hazratullah Zazai,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Najibullah Zadran,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Noor Ali Zadran,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Rahmat Shah,Afghanistan,Test,4,0,0,0,0,0,0,0,0,0,0,0
Samiullah Shinwari,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Gulbadin Naib,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Nabi,Afghanistan,Test,3,5,546,254,8,Mar-36,Apr-95,2.79,31.75,68.25,0,0
Mohammad Shahzad,Afghanistan,Test,2,0,0,0,0,0,0,0,0,0,0,0
Aftab Alam,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Dawlat Zadran,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Hamid Hassan,Afghanistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,Afghanistan,Test,4,7,938,485,23,Jun-49,11/104,3.1,21.09,40.78,3,1
Mujeeb Ur Rahman,Afghanistan,Test,1,1,90,75,1,Jan-75,Jan-75,5,75,90,0,0
